subunit,lat,long,direction,type,source,,,,,,,,,
BIV,42.459742,0.113664,258,ripples,,,,,,,,,,
BIV,42.460957,0.110867,260,ripples,,,,,,,,,,
BIV,42.459863,0.11145,304,ripples,,,,,,,,,,
BIV,42.459855,0.111426,316,flutes,,,,,,,,,,
BIV,42.459842,0.111446,298,flutes,,,,,,,,,,
BIV,42.459835,0.111434,330,flutes,,,,,,,,,,
BIV,42.459827,0.111446,150,grooves,,,,,,,,,,
BIV,42.459827,0.111446,330,grooves,,,,,,,,,,
BIV,42.459939,0.111052,360,flutes,,,,,,,,,,
BIV,42.459782,0.111114,312,ripples,,,,,,,,,,
BIV,42.459786,0.111012,312,ripples,,,,,,,,,,
BIV,42.459807,0.111058,350,flutes,,,,,,,,,,
BIV,42.45985,0.111091,332,ripples,,,,,,,,,,
BIV,42.460618,0.110648,288,flutes,,,,,,,,,,
BIV,42.460647,0.110668,364,ripples,,,,,,,,,,
BIV,42.4607,0.110671,352,ripples,,,,,,,,,,
BIV,42.460652,0.110652,10,ripples,,,,,,,,,,
BIV,42.460445,0.110556,320,flutes,,,,,,,,,,
BIV,42.460342,0.110358,339,flutes,M1b,,,,,,,,,
BIV,42.460312,0.110349,352,flutes,M1b,,,,,,,,,
BIV,,,304,ripples,M1b,,,,,,,,,
BIV,,,160,grooves,M1b,,,,,,,,,
BIV,,,340,grooves,M1b,,,,,,,,,
BIV,,,140,grooves,M1b,,,,,,,,,
BIV,,,320,grooves,M1b,,,,,,,,,
BIV,,,330,flutes,M1c,,,,,,,,,
BIV,,,160,grooves,M1c,,,,,,,,,
BIV,,,340,grooves,M1c,,,,,,,,,
BIV,,,360,ripples,M1c,,,,,,,,,
BIV,,,316,ripples,M2,,,,,,,,,
BIV,,,344,ripples,M4,,,,,,,,,
BIV,,,324,ripples,M4,,,,,,,,,
BIV,,,108,grooves,M4,,,,,,,,,
BIV,,,288,grooves,M4,,,,,,,,,
BIV,,,364,ripples,M4,,,,,,,,,
BIV,,,342,ripples,M4,,,,,,,,,
BIV,,,332,ripples,M4,,,,,,,,,
BIV,,,350,ripples,M4a,,,,,,,,,
BIV,,,10,ripples,M4a,,,,,,,,,
BIV,,,159,grooves,M4a,,,,,,,,,
BIV,,,339,grooves,M4a,,,,,,,,,
